source,network,capacity,model,condition,color,price
0,1,64,2,5,0,479.00
0,1,256,2,2,3,498.00
0,1,64,1,2,1,455.00
0,1,64,2,2,1,470.00
0,1,64,2,2,1,474.00
0,1,64,2,2,1,474.00
0,1,64,1,5,1,481.00
0,1,64,1,2,1,482.00
0,1,64,2,2,0,482.00
0,1,64,2,2,0,482.00
0,1,64,2,2,1,485.00
0,1,64,1,2,2,485.00
0,1,64,2,2,1,485.00
0,1,64,2,2,3,487.00
0,1,64,1,5,0,488.00
0,1,64,2,2,1,499.00
0,1,64,2,2,2,499.00
0,1,256,1,2,1,500.00
0,1,64,2,2,1,524.00
0,1,64,2,2,3,524.00
0,1,64,2,2,0,524.00
0,1,64,2,2,1,545.00
0,1,64,2,5,1,550.00
0,1,256,2,2,3,569.00
0,1,256,2,2,1,569.00
0,1,256,2,2,2,569.00
0,1,256,2,2,1,569.00
0,1,256,2,2,3,569.00
0,1,256,2,2,0,569.00
0,1,64,2,5,1,580.00
0,1,64,2,5,1,600.00
0,1,64,1,6,1,685.00
0,3,64,2,2,1,439.00
0,3,64,2,2,1,439.00
0,3,64,2,2,1,439.00
0,3,64,2,2,1,479.00
0,3,64,2,1,1,410.00
0,3,64,1,2,3,430.00
0,3,64,2,2,1,440.00
0,3,64,1,2,1,445.00
0,3,64,2,2,1,455.00
0,3,64,2,2,1,465.00
0,3,64,2,5,0,465.00
0,3,64,2,2,1,478.00
0,4,64,1,5,1,500.00
0,4,256,1,2,0,570.00
0,4,64,1,6,2,649.00
0,4,64,1,6,2,649.00
0,4,64,1,2,0,430.00
0,4,64,1,2,0,435.00
0,4,64,1,2,0,460.00
0,4,64,1,1,1,464.00
0,4,64,1,5,0,465.00
0,4,64,1,2,0,465.00
0,4,64,1,5,1,475.00
0,4,64,1,2,1,475.00
0,4,64,1,1,3,479.00
0,4,64,1,5,3,480.00
0,4,64,1,2,3,480.00
0,4,64,1,2,1,480.00
0,4,64,1,2,1,482.00
0,4,64,1,2,1,482.00
0,4,64,1,2,0,482.00
0,4,64,1,2,1,482.00
0,4,64,1,2,1,482.00
0,4,64,1,2,1,482.00
0,4,64,1,2,3,482.00
0,4,64,1,2,3,489.00
0,4,64,1,2,1,499.00
0,4,64,1,5,3,510.00
0,4,64,1,6,1,514.00
0,4,64,1,5,1,515.00
0,4,64,1,6,1,530.00
0,4,256,1,2,1,530.00
0,4,64,1,6,1,530.00
0,4,64,1,6,1,530.00
0,4,64,1,6,0,530.00
0,4,64,1,6,1,530.00
0,4,64,1,5,0,535.00
0,4,64,1,6,3,535.00
0,4,64,1,2,3,539.00
0,4,64,1,2,0,539.00
0,4,64,1,1,0,539.00
0,4,64,1,1,1,539.00
0,4,64,1,5,1,540.00
0,4,256,1,2,0,545.00
0,4,64,1,2,3,550.00
0,4,64,1,5,0,560.00
0,4,64,1,5,1,569.99
0,4,64,1,5,3,569.99
0,4,64,1,5,1,570.00
0,4,64,1,5,1,593.00
0,4,64,1,5,0,593.00
0,4,64,1,5,3,593.00
0,4,64,1,6,2,600.00
0,4,256,1,1,3,602.00
0,4,256,1,1,0,602.00
0,4,256,1,1,1,602.00
0,4,256,1,2,3,609.00
0,4,256,1,2,1,623.00
0,4,256,1,2,3,623.00
0,4,256,1,2,0,623.00
0,4,64,1,6,1,685.00
0,2,64,1,5,3,450.00
0,2,64,1,5,1,485.00
0,2,64,1,5,2,485.00
0,2,64,1,5,1,490.00
0,2,64,1,5,2,444.00
0,2,64,1,2,1,485.00
0,2,64,1,1,0,510.00
0,2,64,1,5,3,525.00
0,2,256,1,5,3,550.00
0,2,256,1,2,3,555.00
0,2,64,1,6,3,555.00
0,2,64,1,5,2,560.00
0,2,64,1,6,1,685.00
0,0,64,2,1,1,455.00
0,0,64,1,2,1,475.00
0,0,64,2,2,0,500.00
0,0,64,2,2,1,500.00
0,0,64,1,5,1,510.00
0,0,64,2,5,1,510.00
0,0,64,1,5,0,515.00
0,0,64,1,2,1,529.00
0,0,256,2,5,0,619.00
0,0,64,1,2,0,424.00
0,0,64,2,5,3,435.00
0,0,64,2,2,1,445.00
0,0,64,1,2,3,449.00
0,0,64,2,5,1,450.00
0,0,64,2,2,1,450.00
0,0,64,2,5,3,455.00
0,0,64,1,2,3,460.00
0,0,64,1,5,0,461.00
0,0,64,1,5,1,463.00
0,0,64,1,2,1,464.00
0,0,64,1,2,1,464.00
0,0,64,1,2,3,465.00
0,0,64,1,2,3,465.00
0,0,64,1,2,1,465.00
0,0,64,2,2,1,465.00
0,0,64,1,2,0,474.00
0,0,64,1,5,3,474.00
0,0,64,1,2,1,475.00
0,0,64,1,2,1,475.00
0,0,64,1,2,0,475.00
0,0,64,1,2,0,475.00
0,0,64,2,5,3,475.00
0,0,64,2,1,3,479.00
0,0,64,1,5,1,480.00
0,0,64,1,5,3,480.00
0,0,64,2,2,3,485.00
0,0,64,2,2,0,485.00
0,0,64,1,5,0,485.00
0,0,64,2,2,1,485.00
0,0,64,2,1,3,489.00
0,0,64,2,5,3,495.00
0,0,64,1,2,1,499.00
0,0,64,1,5,1,500.00
0,0,64,2,5,1,500.00
0,0,64,1,5,1,505.00
0,0,64,2,5,3,510.00
0,0,64,1,2,2,510.00
0,0,64,1,5,0,515.00
0,0,64,2,2,1,515.00
0,0,256,2,1,1,515.00
0,0,64,1,2,1,524.00
0,0,64,1,5,1,539.00
0,0,64,2,5,3,549.00
0,0,256,2,2,3,565.00
0,0,64,2,6,1,565.00
0,0,64,1,5,0,569.99
0,0,64,1,5,1,569.99
0,0,64,2,5,0,569.99
0,0,64,2,5,3,569.99
0,0,64,1,5,3,569.99
0,0,64,2,5,1,569.99
0,0,64,1,6,1,575.00
0,0,64,1,5,3,580.00
0,0,64,1,2,2,589.00
0,0,256,1,2,1,635.00
0,0,64,1,6,1,685.00
0,0,256,2,5,3,695.00
0,0,256,1,6,3,699.00
0,0,256,2,5,2,699.00
0,0,64,1,2,3,1024.00
1,1,64,0,4,0,401.22
1,1,64,0,2,1,423.22
1,1,64,0,4,3,435.22
1,1,256,0,4,0,480.22
1,1,256,0,4,1,525.22
1,1,256,0,4,3,556.22
1,2,64,0,4,1,446.22
1,2,64,0,4,0,506.22
1,2,256,0,4,3,556.22
1,2,256,0,4,1,594.22
1,3,64,0,4,3,421.22
1,3,64,0,2,1,441.22
1,3,64,0,2,0,450.47
1,3,256,0,4,0,456.22
1,3,256,0,4,1,496.22
1,3,256,0,3,3,526.22
1,4,64,0,4,1,406.22
